Job_Title,Location,Salary,Monthly_Salary,Locality,State
QC Officer,"Kala Amb, Himachal Pradesh","Up to ₹30,000 a month",19250.0,Remote,Himachal Pradesh
Trainee Administrator,"Jaisalmer, Rajasthan",Not specified,19250.0,Remote,Rajasthan
Soil and Rock testing assistant,"Ghaziabad, Uttar Pradesh","From ₹15,000 a month",19250.0,Remote,Uttar Pradesh
Office Associate,"Amravati, Maharashtra","₹11,000 - ₹18,000 a month",14500.0,Remote,Maharashtra
Customer Care Executive (Preferred Hindi Speaking),Telangana,Not specified,19250.0,Telangana,Telangana
Chartered Accountant/Semi Qualified / ICWA(CMA)/CS,"Ram Nagar, Nagpur, Maharashtra","₹4,00,000 - ₹8,00,000 a year",600000.0,Ram Nagar,Maharashtra
Network and hardware trainee,"Bommasandra Industrial Estate, Bengaluru, Karnataka","₹3,50,000 a year",350000.0,Bommasandra Industrial Estate,Karnataka
CS Trainee,"Pune, Maharashtra",Not specified,19250.0,Remote,Maharashtra
Call Coordinator,"Bengaluru, Karnataka","₹3,00,000 a year",300000.0,Remote,Karnataka
Worked as teacher,"Pratap Nagar, Jaipur, Rajasthan","₹15,000 - ₹30,000 a month",22500.0,Pratap Nagar,Rajasthan
Wanted Delivery Executive Boys / Girls,"Mavelikara, Kerala","₹15,000 - ₹35,000 a month",25000.0,Remote,Kerala
Software Trainee / Intern,"Bhilwara, Rajasthan",Not specified,19250.0,Remote,Rajasthan
Team Member (QSR),"Bengaluru, Karnataka","₹14,000 - ₹15,000 a month",14500.0,Remote,Karnataka
Receptionist & telecaller,"Pattom, Thiruvananthapuram, Kerala","₹12,000 - ₹15,000 a month",13500.0,Pattom,Kerala
Content Creator,"Andheri West, Mumbai, Maharashtra","₹50,000 - ₹75,000 a month",62500.0,Andheri West,Maharashtra
Department Supervisor,"Salem, Tamil Nadu","₹18,000 - ₹25,000 a month",21500.0,Remote,Tamil Nadu
Team Leader - Operations,"Pimpri-Chinchwad, Maharashtra","₹2,51,888.70 - ₹10,98,536.95 a year",675212.825,Remote,Maharashtra
TRAINEE MUD LOGGER,"Mumbai, Maharashtra",Not specified,19250.0,Remote,Maharashtra
Corporate Relationship Manager,"Delhi, Delhi","₹20,000 - ₹50,000 a month",35000.0,Remote,Delhi
Female Visa Filing Officer,"Chandigarh, Chandigarh","From ₹15,000 a month",19250.0,Remote,Chandigarh
WEB DEVELOPERS,"Hubli, Karnataka",Not specified,19250.0,Remote,Karnataka
Receptionist,"Kanpur, Uttar Pradesh","₹1,20,000 - ₹2,50,000 a year",185000.0,Remote,Uttar Pradesh
TRAINEE DEVELOPER,"Jaipur, Rajasthan",Not specified,19250.0,Remote,Rajasthan
Telecalling executive,"Tiruchchirappalli, Tamil Nadu",Not specified,19250.0,Remote,Tamil Nadu
E-Commerce Manager,"Tiruppur, Tamil Nadu","₹10,392.40 - ₹37,891.97 a month",24142.185,Remote,Tamil Nadu
Residential Tutor,"Palghat, Kerala","₹15,784.80 - ₹25,655.16 a month",20719.98,Remote,Kerala
Team Member,"Kolkata, West Bengal","₹8,460.63 - ₹21,434.27 a month",14947.45,Remote,West Bengal
CRE and Agency leader,"Tiruppur, Tamil Nadu","Up to ₹5,50,000 a year",19250.0,Remote,Tamil Nadu
Service Advisor,"Tirur, Kerala","₹15,000 - ₹20,000 a month",17500.0,Remote,Kerala
Data Validation Associate - Night Shift,Remote,"₹10,000 - ₹15,000 a month",12500.0,Remote,Remote
Content writer Intern,Remote,Not specified,19250.0,Remote,Remote
Education Counsellor,"Sai Baba Colony, Coimbatore, Tamil Nadu","₹20,000 - ₹40,000 a month",30000.0,Sai Baba Colony,Tamil Nadu
Assistant Supervisor,"Greater Noida, Uttar Pradesh","₹15,000 - ₹20,000 a month",17500.0,Remote,Uttar Pradesh
Logistics Trainee,"Kochi, Kerala","₹12,000 - ₹14,000 a month",13000.0,Remote,Kerala
Digital Marketing Internship,"Thiruvananthapuram, Kerala","From ₹8,000 a month",19250.0,Remote,Kerala
